Title,Publisher,Author,Year
"500 Social Media Marketing Tips: Essential Advice, Hints and Strategy for Business: Facebook, Twitter, Instagram, Pinterest, LinkedIn, YouTube, Snapchat, and More!","<a href=""/s/?q=%5BAndrew+Macarthy%5D"" title=""Publisher"">[Andrew Macarthy]</a>",Andrew Macarthy,2017
"The Power of Visual Storytelling: How to Use Visuals, Videos, and Social Media to Market Your Brand","<a href=""/s/?q=McGraw-Hill"" title=""Publisher"">McGraw-Hill</a>","Ekaterina Walter, Jessica Gioglio",2014
"Social Media Strategy: Marketing, Advertising, and Public Relations in the Consumer Revolution","<a href=""/s/?q=Rowman+%26+Littlefield+Publishers"" title=""Publisher"">Rowman &amp; Littlefield Publishers</a>",Keith Quesenberry,2018
"Social Media Marketing Mastery (2 Manuscripts in 1): The Ultimate Practical Guide to Marketing, Advertising, Growing Your Business and Becoming an Influencer ... with Facebook, Instagram, Youtube and More","<a href=""/s/?q=Gary+Clyne"" title=""Publisher"">Gary Clyne</a>",Clyne Gary,2019
"Storytelling: Manipulation of the Audience - How to Learn to Skyrocket Your Personal Brand and Online Business Using the Power of Social Media Marketing, Including Instagram, Facebook and YouTube",nan,Daniel Anderson,2019
"SOCIAL MEDIA MARKETING AND ONLINE BUSINESS 2021: Beyond 2020! Rise to the top of the Main eCommerce Platforms Using the Most Unscrupulous and Winning Tactics of Instagram, YouTube & Facebook.",nan,ALLAN KANE,2020
"Social Media Marketing 2021-22: Beginner's Guide to Making Money Online. Become a Successful Influencer Through Youtube, Twitter, Facebook, Instagram and Linkedin Algorithms. Start Your Passive Income","<a href=""/s/?q=Independently+published"" title=""Publisher"">Independently published</a>",Digital Business Academy [Digital Business Academy],2021
"Content Rules: How to Create Killer Blogs, Podcasts, Videos, Ebooks, Webinars (and More) That Engage Customers and Ignite Your Business (New Rules Social Media Series) (Scanned PDF)","<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>","Ann Handley, C.C. Chapman",2010
"The B2B social media book: become a marketing superstar by generating leads with blogging, LinkedIn, Twitter, Facebook, email, and more","<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>","Kipp Bodnar, Jeffrey L. Cohen",2012
Social Media Marketing All-in-One For Dummies,"<a href=""/s/?q=John+Wiley+%26+Sons"" title=""Publisher"">John Wiley &amp; Sons</a>","Jan Zimmerman, Deborah Ng",2017
Ten Arguments For Deleting Your Social Media Accounts Right Now,"<a href=""/s/?q=The+Bodley+Head+Ltd"" title=""Publisher"">The Bodley Head Ltd</a>",Jaron Lanier,2018
Digital And Social Media Marketing: Emerging Applications And Theoretical Development,"<a href=""/s/?q=Springer"" title=""Publisher"">Springer</a>","Nripendra P. Rana, Emma L. Slade, Ganesh Prasad Sahu, Hatice Kizgin, Nitish Singh, Bidit Dey, Anabel Gutierrez, Yogesh K. Dwivedi",2020
"Mind Wars: A History of Mind Control, Surveillance, and Social Engineering by the Government, Media, and Secret Societies","<a href=""/s/?q=Red+Wheel%2FWeiser"" title=""Publisher"">Red Wheel/Weiser</a>","Marie D. Jones, Larry Flaxman",2015
"Mining the Social Web: Data Mining Facebook, Twitter, LinkedIn, Instagram, GitHub, and More","<a href=""/s/?q=O%27Reilly+Media"" title=""Publisher"">O'Reilly Media</a>","Russell, Matthew A., Klassen, Mikhail",2019
"Social Media: Become a Social Media Marketing Master: How to Easily Start Marketing on Facebook, Twitter, Instagram, YouTube & More",nan,"Jenkins, Alex",2016
"Social media marketing workbook 2019: how to leverage the power of Facebook advertising, Instagram marketing, YouTube and SEO to explode your business and personal brand","<a href=""/s/?q=Social+Media+Guru"" title=""Publisher"">Social Media Guru</a>","Schaffner, Adam",2019
"Social Media Marketing, 3 books in one: Excellent Tricks to Grow your business,Instagram Marketing to become a famous influencer,Tiktok and You Tube to make Viral Videos",nan,"Miller, Dave",2020
Social Media Marketing For Dummies,"<a href=""/s/?q=John+Wiley+%26+Sons"" title=""Publisher"">John Wiley &amp; Sons</a>","Shiv Singh, Stephanie Diamond",2020
"Computational Propaganda: Political Parties, Politicians, and Political Manipulation on Social Media","<a href=""/s/?q=Oxford+University+Press"" title=""Publisher"">Oxford University Press</a>","Samuel  C .  Woolley, Philip N. Howard",2018
"500 social media marketing tips : essential advice, hints and strategy for business : Facebook, Twitter, Pinterest, Google+, YouTube, Instagram, Linkedin, and more!",nan,Andrew Macarthy,2014
"Seven Layers of Social Media Analytics: Mining Business Insights from Social Media Text, Actions, Networks, Hyperlinks, Apps, Search Engine, and Location Data",nan,Gohar F. Khan,2015
Social Media,"<a href=""/s/?q=Createspace+Independent+Publishing+Platform"" title=""Publisher"">Createspace Independent Publishing Platform</a>",Grant Kennedy,2016
The SAGE Handbook of Social Media Research Methods,"<a href=""/s/?q=SAGE+Publications+Ltd"" title=""Publisher"">SAGE Publications Ltd</a>","Luke Sloan, Anabel Quan-Haase",2017
"#AskGaryVee: One Entrepreneur's Take on Leadership, Social Media, and Self-Awareness","<a href=""/s/?q=HarperBusiness"" title=""Publisher"">HarperBusiness</a>",Gary Vaynerchuk,2016
Social Media Data Mining and Analytics,"<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>","Gabor Szabo, Gungor Polatkan, P. Oscar Boykin, Antonios Chalkiopoulos",2018
"Social Media Marketing 2021: 4 BOOKS IN 1 - Social Media for Beginners, Instagram Marketing to Become an Influencer, Facebook Advertising, Google AdWords",nan,"Preace, Jeremy",2020
"Praxiswissen Online-Marketing: Affiliate-, Influencer-, Content- und E-Mail-Marketing, Google Ads, SEO, Social Media, Online- inklusive Facebook-Werbung (German Edition)","<a href=""/s/?q=Springer+Gabler"" title=""Publisher"">Springer Gabler</a>","Lammenett, Erwin",2019
"FACEBOOK MARKETING 2021: Hit With Advertising Strategies to Estimate Your Small Business on Top,use This Move by Step Beginner’s Guide for Passive Income on Social Media to Make Money Online Fromhome","<a href=""/s/?q=%23PrB.rating%230.0"" title=""Publisher"">#PrB.rating#0.0</a>","Jack Mathew [Mathew, Jack]",2021
"Social Security 101: From Medicare To Spousal Benefits, An Essential Primer On Government Retirement Aid (adams 101)","<a href=""/s/?q=Adams+Media"" title=""Publisher"">Adams Media</a>","Mill, Alfred",2016
The Art of Social Media: Power Tips for Power Users,"<a href=""/s/?q=Portfolio"" title=""Publisher"">Portfolio</a>","Guy Kawasaki, Peg Fitzpatrick",2014
Influencer: Building your personal brand in the age of social media,"<a href=""/s/?q=Citadel+Press"" title=""Publisher"">Citadel Press</a>","Hennessy, Brittany",2018
Social Media Success for Every Brand: The Five StoryBrand Pillars That Turn Posts Into Profits,"<a href=""/s/?q=HarperCollins+Leadership"" title=""Publisher"">HarperCollins Leadership</a>",Claire Diaz-Ortiz,2019
"No B.S. Guide to Direct Response Social Media Marketing: The Ultimate No Holds Barred Guide to Producing Measurable, Monetizable Results with Social Media Marketing","<a href=""/s/?q=Entrepreneur+Press"" title=""Publisher"">Entrepreneur Press</a>","Dan S. Kennedy, Kim Walsh-Phillips",2015
Leave Your Mark: Land Your Dream Job. Kill It in Your Career. Rock Social Media.,"<a href=""/s/?q=Grand+Central+Publishing"" title=""Publisher"">Grand Central Publishing</a>",Aliza Licht,2015
"Media, Society, World: Social Theory and Digital Media Practice","<a href=""/s/?q=Polity"" title=""Publisher"">Polity</a>",Nick Couldry,2012
"INSTAGRAM MARKETING 2021: Success in your business with the power of promotion, grow a top influencer with the secrets of this beginner’s guide for growth in social media marketing",nan,"Mathew, Jack [Mathew, Jack]",2021
Introduction to Mass Communication: Media Literacy and Culture,"<a href=""/s/?q=McGraw-Hill+Humanities%2FSocial+Sciences%2FLanguages"" title=""Publisher"">McGraw-Hill Humanities/Social Sciences/Languages</a>",Stanley Baran,2013
"Python Social Media Analytics: Analyze and visualize data from Twitter, Youtube, GitHub, and more","<a href=""/s/?q=Packt+Publishing"" title=""Publisher"">Packt Publishing</a>","Siddhartha Chatterjee, Michal Krystyanczuk",2017
"The New Rules of Marketing & PR: How to Use Social Media, Online Video, Mobile Applications, Blogs, News Releases, and Viral Marketing to Reach Buyers Directly","<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>",David Meerman Scott,2013
Social Media Marketing Workbook 2022,nan,Jason McDonald,2022
Philosophy Of Media: A short History Of Ideas And Innovations From Socrates To Social Media,"<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>","Hassan, Robert, Sutherland, Thomas",2017
Social Media Marketing All-in-One For Dummies,"<a href=""/s/?q=For+Dummies"" title=""Publisher"">For Dummies</a>","Michelle Krasniak, Jan Zimmerman, Deborah Ng",2021
Dynamic Digital Marketing: Master the World of Online and Social Media Marketing to Grow Your Business,"<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>",Dawn McGruer,2020
Social Media for Strategic Communication: Creative Strategies and Research-Based Applications,"<a href=""/s/?q=Sage+Publications%2C+Inc"" title=""Publisher"">Sage Publications, Inc</a>",Karen J Freberg,2018
Influence and Behavior Analysis in Social Networks and Social Media,"<a href=""/s/?q=Springer+International+Publishing"" title=""Publisher"">Springer International Publishing</a>","Mehmet Kaya, Reda Alhajj",2019
"Professione social media manager. Strategie, tattiche e strumenti per i professionisti del social media marketing","<a href=""/s/?q=Hoepli"" title=""Publisher"">Hoepli</a>",Veronica Gentili,2020
"50 digital team building games : fast, fun meeting openers, group activities and adventures using social media, smart phones, GPS, tablets, and more","<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>","Chen, John",2012
Social Media Made Simple: Social Media Marketing Tips for Small Business: A Quick Guide to Boosting Your Brand With 101 Free Content Ideas,"<a href=""/s/?q=%23PrB.rating%235.0"" title=""Publisher"">#PrB.rating#5.0</a>","The Sitters Australia & Siân Evans & Justine Day [Australia, The Sitters & Evans, Siân & Day, Justine]",2021
Social Media and Crisis Communication,"<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>","Lucinda L Austin, Yan Jin",2017
LikeWar: The Weaponization of Social Media,"<a href=""/s/?q=Eamon+Dolan%2FHoughton+Mifflin+Harcourt"" title=""Publisher"">Eamon Dolan/Houghton Mifflin Harcourt</a>","P.W. Singer, Emerson T. Brooking",2018
Mining Social Media: Finding Stories in Internet Data,"<a href=""/s/?q=No+Starch+Press"" title=""Publisher"">No Starch Press</a>",Lam Thuy Vo,2019
The culture of connectivity : a critical history of social media,"<a href=""/s/?q=Oxford+University+Press"" title=""Publisher"">Oxford University Press</a>",José van Dijck,2013
"The Hype Machine: How Social Media Disrupts Our Elections, Our Economy, and Our Health--And How We Must Adapt","<a href=""/s/?q=Currency"" title=""Publisher"">Currency</a>",Sinan Aral,2020
"Social Media, Politics and the State: Protests, Revolutions, Riots, Crime and Policing in the Age of Facebook, Twitter and YouTube","<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>","Daniel Trottier, Christian Fuchs",2014
"SOCIAL MEDIA MARKETING AND ONLINE BUSINESS 2021: Beyond 2020! Rise to the top of the Main eCommerce Platforms Using the Most Unscrupulous and Winning Tactics of Instagram, YouTube & Facebook.",nan,ALLAN KANE,2020
"Messing with the Enemy: Surviving in a Social Media World of Hackers, Terrorists, Russians, and Fake News","<a href=""/s/?q=Harper"" title=""Publisher"">Harper</a>",Clint Watts,2018
Media Control: News as an Institution of Power and Social Control,"<a href=""/s/?q=Bloomsbury+Publishing+Inc"" title=""Publisher"">Bloomsbury Publishing Inc</a>",Robert E. Gutsche Jr.,2017
Breeding His Social Media Slut Daughter,nan,DeeDee Zee,english
The Social Media Marketing Book,"<a href=""/s/?q=O%27Reilly+Media"" title=""Publisher"">O'Reilly Media</a>",Dan Zarrella,2009
Multimodal Communication: A social semiotic approach to text and image in print and digital media,"<a href=""/s/?q=Springer+International+Publishing%3B+Palgrave+Pivot"" title=""Publisher"">Springer International Publishing; Palgrave Pivot</a>",May Wong,2019
The Introvert’s Edge to Networking: Work the Room. Leverage Social Media. Develop Powerful Connections,"<a href=""/s/?q=HarperCollins+Leadership"" title=""Publisher"">HarperCollins Leadership</a>","Pollard, Matthew",2021
Social Media Marketing : Learn How to Build a Great Brand & Master the Secrets of influencing .,nan,"Lane, Marry",2020
Growth Hacker Marketing. El futuro del Social Media y la Publicidad (Títulos Especiales) (Spanish Edition),"<a href=""/s/?q=ANAYA+MULTIMEDIA"" title=""Publisher"">ANAYA MULTIMEDIA</a>",Ryan Holiday,2014
"Social Media Marketing – Strategies of Facebook Marketing, Instagram Marketing, LinkedIn Marketing, YouTube Marketing",nan,"Maheshwari, Shubhangi & Pal, Nishant [Maheshwari, Shubhangi]",2021
Introduction to Social Media Marketing: A Guide for Absolute Beginners,"<a href=""/s/?q=Apress"" title=""Publisher"">Apress</a>",Todd Kelsey,2017
Blender for Video Production Quick Start Guide: Create high quality videos for YouTube and other social media platforms with Blender,"<a href=""/s/?q=Packt+Publishing"" title=""Publisher"">Packt Publishing</a>",Allan Brito,2018
"Critique, Social Media and Information Society","<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>",Christian Fuchs and Marisol Sandoval,2014
"Writing on the wall: social media — the first 2,000 years","<a href=""/s/?q=Bloomsbury+USA"" title=""Publisher"">Bloomsbury USA</a>",Tom Standage,2013
Encyclopedia of Social Media and Politics (3 volume set),"<a href=""/s/?q=SAGE+Publications%2C+Inc"" title=""Publisher"">SAGE Publications, Inc</a>",Kerric Harvey,2014
Influencer: Building Your Personal Brand in the Age of Social Media,nan,Hennessy Brittany,2018
"Think Like a Psychologist: How to Analyze Emotions, Read Body Language and Behavior, Understand Motivations, and Decipher Intentions (The Psychology of Social Dynamics Book 2)","<a href=""/s/?q=PKCS+Media%2C+Inc."" title=""Publisher"">PKCS Media, Inc.</a>","Patrick King [King, Patrick]",2019
O mito da grande classe média - Capitalismo e estrutura social,"<a href=""/s/?q=Boitempo+Editorial"" title=""Publisher"">Boitempo Editorial</a>",Marcio Pochmann,2015
"NEW RULES OF MARKETING & PR how to use social media, online video, mobile applications, blogs... , news releases, and viral marketing to reach buye.","<a href=""/s/?q=JOHN+WILEY+%26+SONS"" title=""Publisher"">JOHN WILEY &amp; SONS</a>",DAVID MEERMAN SCOTT,2020
"International Communications Strategy: Developments in Cross-Cultural Communications, PR and Social Media","<a href=""/s/?q=Kogan+Page"" title=""Publisher"">Kogan Page</a>","Silvia Cambie, Yang-May Ooi",2009
Behind The Screen: Content Moderation In The Shadows Of Social Media,"<a href=""/s/?q=Yale+University+Press"" title=""Publisher"">Yale University Press</a>",Sarah T. Roberts,2019
Ultimate Guide to Social Media Marketing,"<a href=""/s/?q=Entrepreneur+Press"" title=""Publisher"">Entrepreneur Press</a>",Eric Butow,2020
"Social Media Marketing,3 books in one: Excellent Tricks to Grow your business,Instagram Marketing to become a famous influencer,Tiktok and You Tube to make Viral Videos",nan,Dave Miller,2020
Dark Persuasion: A History of Brainwashing from Pavlov to Social Media,"<a href=""/s/?q=Yale+University+Press"" title=""Publisher"">Yale University Press</a>","Dimsdale, Joel E.",2021
"Distant Witness：Social Media, The Arab Spring and a Journalism Revolution 遙遠的目擊者：阿拉伯之春紀事","<a href=""/s/?q=%E7%AB%8B%E7%B7%92"" title=""Publisher"">立緒</a>",鄧伯宸 Andy Carvin,2013
Online Public Relations: A Practical Guide to Developing an Online Strategy in the World of Social Media (PR in Practice),"<a href=""/s/?q=Kogan+Page"" title=""Publisher"">Kogan Page</a>","David Phillips, Philip Young",2009
"Creating Smart Enterprises: Leveraging Cloud, Big Data, Web, Social Media, Mobile and IoT Technologies","<a href=""/s/?q=Auerbach+Publications%3BCRC+Press"" title=""Publisher"">Auerbach Publications;CRC Press</a>",Vivek Kale,2018
The Handbook of Online and Social Media Research: Tools and Techniques for Market Researchers,"<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>",Ray Poynter,2010
"Improve Your Conversations: Think On Your Feet, Witty Banter, and Always Know What To Say with Improv Comedy Techniques (Social Skills, Small Talk, and Communication Skills Mastery)","<a href=""/s/?q=Plain+Key+Media"" title=""Publisher"">Plain Key Media</a>","Patrick King [King, Patrick]",2015
Social Media Marketing,nan,Tracy L. Tuten & Michael R. Solomon,english
Ten Arguments for Deleting Your Social Media Accounts Right Now,"<a href=""/s/?q=Henry+Holt+and+Company"" title=""Publisher"">Henry Holt and Company</a>",Jaron Lanier,2018
"Disinformation, Misinformation, and Fake News in Social Media (Lecture Notes in Social Networks)","<a href=""/s/?q=Springer+International+Publishing"" title=""Publisher"">Springer International Publishing</a>",Unknown,2020
Social Media: A Critical Introduction,"<a href=""/s/?q=SAGE+Publications+Ltd"" title=""Publisher"">SAGE Publications Ltd</a>",Christian Fuchs,2013
"Strategic Communication, Social Media and Democracy The challenge of the digital naturals","<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>","Edited by W. Timothy Coombs, Jesper Falkheimer, Mats Heide and Philip Young",2015
"R: Mining Spatial, Text, Web, and Social Media Data","<a href=""/s/?q=Packt+Publishing%3B"" title=""Publisher"">Packt Publishing;</a>","Bater Makhabel, Pradeepta Mishra, Nathan Danneman, Richard Heimann",2017
"30 Days to Social Media Success: The 30 Day Results Guide to Making the Most of Twitter, Blogging, LinkedIN, and Facebook","<a href=""/s/?q=Career+Press"" title=""Publisher"">Career Press</a>",Gail Martin,2010
#Republic: Divided Democracy in the Age of Social Media,"<a href=""/s/?q=Princeton+University+Press"" title=""Publisher"">Princeton University Press</a>",Cass R. Sunstein,2017
Public Influence: A Guide to Op-Ed Writing and Social Media Engagement,"<a href=""/s/?q=University+of+Toronto+Press"" title=""Publisher"">University of Toronto Press</a>",Mira Sucharov,2019
Social Media Marketing in Tourism and Hospitality,"<a href=""/s/?q=Springer+International+Publishing"" title=""Publisher"">Springer International Publishing</a>",Roberta Minazzi (auth.),2015
Social Media And The Post-Truth World Order: The Global Dynamics Of Disinformation,"<a href=""/s/?q=Palgrave+Pivot"" title=""Publisher"">Palgrave Pivot</a>",Gabriele Cosentino,2020
Social Media Marketing: Emerging Concepts and Applications,"<a href=""/s/?q=Palgrave+Macmillan"" title=""Publisher"">Palgrave Macmillan</a>","Githa Heggde, G. Shainesh (eds.)",2018
Natural Language Processing for Social Media,"<a href=""/s/?q=Morgan+%26+Claypool+Publishers"" title=""Publisher"">Morgan &amp; Claypool Publishers</a>","Anna Atefeh Farzindar, Diana Inkpen",2020
"Psychoanalysis and Digital Culture: Audiences, Social Media, and Big Data","<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>",Jacob Johanssen,2019
"Social Media Communication: Concepts, Practices, Data, Law and Ethics","<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>",Jeremy H. Lipschultz,2017
The Social Media MBA Guide to ROI: How to Measure and Improve Your Return on Investment,"<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>",Christer Holloman,2014
Social Media Analytics Strategy: Using Data to Optimize Business Performance,"<a href=""/s/?q=Apress"" title=""Publisher"">Apress</a>",Alex Gonçalves (auth.),2017
"Advanced social media marketing: How to lead, launch, and manage a successful social media program","<a href=""/s/?q=Apress"" title=""Publisher"">Apress</a>",Tom Funk,2012
The End of Marketing: Humanizing Your Brand in the Age of Social Media and AI,"<a href=""/s/?q=Kogan+Page"" title=""Publisher"">Kogan Page</a>",Carlos Gil,2019
Social Media Marketing personal y profesional,"<a href=""/s/?q=Alfaomega"" title=""Publisher"">Alfaomega</a>",José Antonio Carballar Falcón,2013
No B.S. Guide to Direct Response Social Media Marketing,"<a href=""/s/?q=Entrepreneur+Press"" title=""Publisher"">Entrepreneur Press</a>",Dan S. Kennedy,2015
"Optimize: How to Attract and Engage More Customers by Integrating SEO, Social Media, and Content Marketing","<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>",Lee Odden,2012
The Social Photo - On Photography and Social Media,"<a href=""/s/?q=Verso"" title=""Publisher"">Verso</a>",Nathan Jurgenson,2019
Marketing Communications: Integrating Offline and Online with Social Media,"<a href=""/s/?q=Kogan+Page+Publishers"" title=""Publisher"">Kogan Page Publishers</a>","Paul R. Smith, Ze Zook",2011
The Language of Social Media: Identity and Community on the Internet,"<a href=""/s/?q=Palgrave+Macmillan+UK"" title=""Publisher"">Palgrave Macmillan UK</a>","Philip Seargeant, Caroline Tagg (eds.)",2014
The End Of Forgetting: Growing Up With Social Media,"<a href=""/s/?q=Harvard+University+Press"" title=""Publisher"">Harvard University Press</a>",Kate Eichhorn,2019
"500 Social Media Marketing Tips: Essential Advice, Hints and Strategy for Business: Facebook, Twitter, Instagram, Pinterest, LinkedIn, YouTube, Snapchat, and More!",nan,Andrew Macarthy,2014
Think Before You Like: Social Media’s Effect on the Brain and the Tools You Need to Navigate Your Newsfeed,"<a href=""/s/?q=Prometheus+Books"" title=""Publisher"">Prometheus Books</a>",Guy P. Harrison,2017
"Instagram: Instagram Blackbook: Everything You Need To Know About Instagram For Business and Personal - Ultimate Instagram Marketing Book (Internet Marketing, Social Media)",nan,J. Holmes,english
For the TikTok Beginner: Become a Famous Social Media Influencer: Learn the Ins & Outs of TikTok and Turn Income Ideas Into a Money Making Business,"<a href=""/s/?q=%23PrB.rating%230.0"" title=""Publisher"">#PrB.rating#0.0</a>","Adonis Gillespie [Gillespie, Adonis]",2021
"Innovations in Knowledge Management: The Impact of Social Media, Semantic Web and Cloud Computing","<a href=""/s/?q=Springer-Verlag+Berlin+Heidelberg"" title=""Publisher"">Springer-Verlag Berlin Heidelberg</a>","Liana Razmerita, Gloria Phillips-Wren, Lakhmi C. Jain (eds.)",2016
Free Speech: A History from Socrates to Social Media,"<a href=""/s/?q=Basic+Books"" title=""Publisher"">Basic Books</a>",Jacob Mchangama,2022
How to Make Money with Social Media: An Insider's Guide on Using New and Emerging Media to Grow Your Business,"<a href=""/s/?q=FT+Press"" title=""Publisher"">FT Press</a>","Jamie Turner, Reshma Shah",2010
"Social media hacking: Hack Facebook, WhatsApp, Instagram, Twitter accounts",nan,Shekhar Mishra,2018
Mining Social Media-Finding Stories in Internet Data,"<a href=""/s/?q=No+Starch+Press"" title=""Publisher"">No Starch Press</a>",Lam Thuy Vo,2019
Alpha Male Strategies: Dating Techniques In The Social Media Age,nan,Alpha Male Strategies,english
"Fans and Fan Cultures: Tourism, Consumerism and Social Media","<a href=""/s/?q=Palgrave+Macmillan+UK"" title=""Publisher"">Palgrave Macmillan UK</a>","Henrik Linden, Sara Linden (auth.)",2017
"Inbound Marketing: Get Found Using Google, Social Media, and Blogs","<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>","Brian Halligan, Dharmesh Shah, David Meerman Scott",2009
Nationalism on the Internet: Critical Theory and Ideology in the Age of Social Media and Fake News,"<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>",Christian Fuchs,2019
"Likeable Social Media: How to Delight Your Customers, Create an Irresistible Brand, and Be Generally Amazing on Facebook","<a href=""/s/?q=McGraw-Hill"" title=""Publisher"">McGraw-Hill</a>",Dave Kerpen,2011
"Ask, Measure, Learn: Using Social Media Analytics to Understand and Influence Customer Behavior","<a href=""/s/?q=O%27Reilly+Media"" title=""Publisher"">O'Reilly Media</a>","Lutz Finger, Soumitra Dutta",2014
Socialism 101,"<a href=""/s/?q=Adams+Media"" title=""Publisher"">Adams Media</a>",Kathleen Sears,2019
